date,daytype,seconds,miles,tips,total,payment_type,speed
12/20/19,weekend,732,1.66,0,8.75,Cash,8.1639344
8/25/19,weekday,843,2.32,0,12.75,Cash,9.9074733
12/6/19,weekend,814,2.7,3.12,15.62,Credit,11.941032
11/9/19,weekend,972,5.9,4.5,27,Credit,21.851852
2/8/19,weekend,3417,31.09,0,87.5,Cash,32.755048
8/1/19,weekday,650,1.9,0,8,Cash,10.523077
3/5/19,weekday,660,3.3,2.35,14.1,Credit,18
10/4/19,weekend,808,2,0,11,Cash,8.9108911
5/7/19,weekday,3470,16.74,0,47.25,Cash,17.367147
9/29/19,weekday,1980,18.1,10,59.5,Credit,32.909091
9/3/19,weekday,2340,1.1,0,49,Cash,1.6923077
10/22/19,weekday,1620,0.7,7.75,46,Credit,1.5555556
8/21/19,weekday,322,0.9,0,6,Cash,10.062112
7/16/19,weekday,2996,18.4,9.5,57,Credit,22.109479
2/20/19,weekday,480,2.5,2.5,12,Credit,18.75
11/3/19,weekday,660,3.3,0,11.5,Cash,18
9/14/19,weekend,1021,6.22,0,19.25,Cash,21.93144
1/4/19,weekend,196,0.53,0,4.75,Cash,9.7346939
1/16/19,weekday,420,3,2,13,Credit,25.714286
11/25/19,weekday,535,1.65,0,8,Cash,11.102804
3/5/19,weekday,360,1.5,0,8,Cash,15
11/14/19,weekday,1064,2.11,0,11.75,Cash,7.1390977
8/23/19,weekend,2343,15.97,0,47.25,Cash,24.537772
5/6/19,weekday,1102,4.25,0,14.5,Cash,13.883848
7/15/19,weekday,3780,18.5,9.75,58,Credit,17.619048
5/16/19,weekday,2340,15.2,8.95,53.2,Credit,23.384615
4/29/19,weekday,244,0.56,0,5,Cash,8.2622951
5/8/19,weekday,1560,12.9,7.45,44.7,Credit,29.769231
2/27/19,weekday,660,1.9,0,9.25,Cash,10.363636
6/6/19,weekday,918,2.75,0,11.25,Cash,10.784314
3/21/19,weekday,440,0.95,0,6.25,Cash,7.7727273
6/14/19,weekend,3677,17.57,9.4,56.4,Credit,17.202067
3/19/19,weekday,480,2.2,0,11,Cash,16.5
1/22/19,weekday,2149,6.49,20,44,Credit,10.872034
10/16/19,weekday,971,2.03,0,11,Cash,7.5262616
1/23/19,weekday,536,1.76,0,8,Cash,11.820896
9/15/19,weekday,4615,32.53,0,84.25,Cash,25.375515
2/9/19,weekend,681,2.24,0,9.5,Cash,11.84141
10/17/19,weekday,1707,5.8,4,24,Credit,12.231986
6/13/19,weekday,563,2.4,10,20,Credit,15.346359
10/23/19,weekday,2558,21.57,0,60.75,Cash,30.356529
10/2/19,weekday,1433,8.59,4.85,29.1,Credit,21.579902
3/12/19,weekday,268,0.86,0,5.75,Cash,11.552239
7/23/19,weekday,720,1.2,0,8,Cash,6
11/11/19,weekday,3900,25.4,19.25,96.25,Credit,23.446154
5/14/19,weekday,877,7.87,0,22,Cash,32.305587
7/30/19,weekday,780,1.5,2.05,11.8,Credit,6.9230769
9/16/19,weekday,420,4.7,2.85,16.6,Credit,40.285714
12/19/19,weekday,780,0.9,0,8.25,Cash,4.1538462
3/17/19,weekday,660,2,0,10,Cash,10.909091
3/16/19,weekend,300,0.7,4.5,10,Credit,8.4
5/15/19,weekday,1051,1.33,2,12.5,Credit,4.5556613
8/13/19,weekday,1380,12.9,9.6,47.6,Credit,33.652174
9/8/19,weekday,646,1.9,3,12.25,Credit,10.588235
6/4/19,weekday,1523,9.82,0,27.75,Cash,23.212081
2/6/19,weekday,300,0.4,2,7,Credit,4.8
5/1/19,weekday,1140,1.8,2.1,12.85,Credit,5.6842105
7/20/19,weekend,528,0.77,2,9,Credit,5.25
2/15/19,weekend,420,0.9,2,9.75,Credit,7.7142857
1/12/19,weekend,360,0.7,4,11.5,Credit,7
7/31/19,weekday,320,0.64,0,6.25,Cash,7.2
6/10/19,weekday,3960,16.6,0,48.5,Cash,15.090909
9/13/19,weekend,960,2.8,0,12.5,Cash,10.5
4/12/19,weekend,594,2.42,1,11,Credit,14.666667
2/8/19,weekend,545,1.4,0,7.75,Cash,9.2477064
3/4/19,weekday,300,1,2,8,Credit,12
8/25/19,weekday,480,1.7,0,7.75,Cash,12.75
8/4/19,weekday,332,0.67,2,9,Credit,7.2650602
10/3/19,weekday,422,1.17,0,6.5,Cash,9.9810427
7/31/19,weekday,2160,17.1,10.75,53.75,Credit,28.5
7/7/19,weekday,2460,1.1,0,53.25,Cash,1.6097561
5/1/19,weekday,780,2.8,2.2,13.2,Credit,12.923077
11/6/19,weekday,524,1.88,2,11,Credit,12.916031
3/1/19,weekend,2275,19.9,0,54,Cash,31.49011
11/4/19,weekday,300,0.8,0,8,Cash,9.6
5/24/19,weekend,288,0.7,0,5.25,Cash,8.75
2/20/19,weekday,3951,18.02,10.3,61.8,Credit,16.419134
2/17/19,weekday,732,2.03,2,11.5,Credit,9.9836066
